LapNumber,LapDistance,Speed,LateralAcceleration,LongitudinalAcceleration,FRH,RRH,Yaw,Steer,Roll,FlapAngle,BrakeForce,ThrottlePedal,CzF,CzR,Cx,CornerPhase,GPSLatCoord,GPSLongCoord
1,0.0,0.899089761224174,-0.0387726656442267,0.0397846257527159,0.282388121585378,0.163998902166102,0.0064079349015026,-0.004632711329844,0.0259190024379603,20,5.72399546777911e-05,1.0,1.45770333612108,1.42210086263329,0.877121186955075,Straight-line,26.030133333333335,50.51035
1,0.0007052387253793,0.900325418970256,-0.0287308245113466,0.060125629405805,0.286900867931696,0.172130169603648,-0.006225344472041,-0.0044444777866915,0.0264594511771491,20,6.65590902114924e-05,1.0,1.45946912165805,1.42364341505502,0.877499678295981,Straight-line,26.030166666666666,50.51035
1,0.0014153034967231,0.900878005631586,-0.0410041863578145,0.036494168033966,0.294853627269549,0.155447447881575,-0.0181243625157693,-0.0041080462345408,0.0262416902624427,20,0.0001088458436582,1.0,1.4508006553303,1.42229448445482,0.876919273822879,Straight-line,26.0302,50.51035
1,0.0021205423991174,0.902761171314312,-0.0521617857692232,0.0679030818115933,0.298749540886173,0.150487901145513,-0.0283773804195848,-0.0036359970275215,0.0259496439499426,20,-2.57474634879086e-05,1.0,1.44754496979353,1.42186801048082,0.876765417907071,Straight-line,26.03023333333333,50.51035
1,0.0028373821505709,0.903330698966195,-0.0418410081841089,0.0514507954465545,0.297099876307034,0.149693526999374,-0.034042218608755,-0.0030915101475967,0.0259429332432256,20,-6.06966317329354e-05,1.0,1.44752478734418,1.42148524113261,0.876747102689133,Straight-line,26.03026666666667,50.51035
1,0.0035476325220465,0.904741068759892,-0.0172942824129079,0.0499551298079714,0.292076672910139,0.153055644325487,-0.0323993420832604,-0.0026478949306177,0.0245599598304991,20,4.98744514597875e-05,1.0,1.45030250182537,1.42148624566189,0.876859190430704,Straight-line,26.0303,50.51035
1,0.004261966273437,0.906205494538713,-0.0287308245113466,0.0523481903722825,0.28663466521736,0.159277169633664,-0.0240022232464393,-0.0024388043569355,0.0200932845927518,20,-7.24365863283114e-05,1.0,1.45446727213711,1.42191069461274,0.877055566750944,Straight-line,26.030333333333335,50.51035
1,0.0049743514447121,0.907137895621837,-0.0022315212331541,0.042177686317027,0.283185845672878,0.163765203711493,-0.0127662519364952,-0.0024257731770219,0.0134888195982273,20,-9.05173034098016e-05,1.0,1.45736743042234,1.42225736965997,0.877187221903386,Straight-line,26.030366666666666,50.51036666666667
1,0.0056911910191507,0.908093833042982,-0.0203626228745248,0.0526473190425771,0.282646622816153,0.163933015595726,-0.0033053147493612,-0.0024720380432942,0.0066464957296827,20,-5.20255167132094e-05,1.0,1.45767543573749,1.42226027454573,0.877171852013167,Straight-line,26.030399999999997,50.51036666666667
1,0.0064035761904257,0.90967193157521,-0.0008368209819991,0.0562369121177547,0.284154362484112,0.156996180025861,0.0014540855447947,-0.0025018275970245,0.0010176327462811,20,8.34151694725614e-05,1.0,1.45466641057214,1.42154399558003,0.876905436290022,Straight-line,26.030450000000002,50.51036666666667
1,0.0071229215879125,0.910075153014486,-0.0237099039449066,0.0400837544230106,0.286053908752823,0.149840967655286,0.0009703255037901,-0.0025023097270929,-0.0028378899284984,20,-9.64620386502454e-05,1.0,1.4514515644646,1.42082325354552,0.876639574502407,Straight-line,26.030483333333333,50.51036666666667
1,0.0078374408509273,0.911348055075678,-0.0340306856865514,0.0547412509365935,0.286022439776949,0.142971955478863,-0.0035476471781176,-0.0024242432352411,-0.0057746208238148,20,1.71125299645648e-05,1.0,1.44888510930915,1.41992649384283,0.876382265305983,Straight-line,26.030516666666667,50.51036666666667
1,0.0085542804253659,0.912694023241164,-0.0301255233986401,0.0451690086793493,0.284433452007585,0.136331661354879,-0.009544940323725,-0.0021871708200191,-0.010092849004119,20,-4.18588336509317e-05,1.0,1.4468125388206,1.41884681496724,0.876120904434837,Straight-line,26.030549999999998,50.51036666666667
1,0.009266665596641,0.913226306577938,-0.0206415634832896,0.0224349400045273,0.283075270730099,0.137991864583849,-0.0135838124542565,-0.0017578210976555,-0.0174540334809001,20,9.07084300470463e-06,1.0,1.44775362809273,1.41882467841423,0.876143195026505,Straight-line,26.030583333333336,50.51036666666667
1,0.0099835051710796,0.914226342302736,-0.0025104613223526,0.042177686317027,0.283192646099863,0.134265071143277,-0.0136117775220584,-0.0012513964797124,-0.0261414821030007,20,-2.58347287260335e-05,1.0,1.4462975648204,1.41827484942947,0.875979125290163,Straight-line,26.030616666666667,50.51036666666667
1,0.0107051708799902,0.915187452545424,0.0080892610280569,0.0385880932418494,0.285813904683447,0.13294360443413,-0.0108983058439416,-0.0008981211283213,-0.0320702366249846,20,-9.65477303219815e-06,1.0,1.44505707722867,1.41834700502812,0.875932378521413,Straight-line,26.03065,50.51036666666667
1,0.0114220097463692,0.915536488679038,-0.0044630414271756,0.0200418794402163,0.28919557001145,0.134385396276262,-0.008759880871009,-0.0008199651326709,-0.0330145545208179,20,-5.20255227306717e-05,1.0,1.44463586764936,1.41888071179614,0.875997582365471,Straight-line,26.030683333333332,50.51036666666667
1,0.0121436754552797,0.9164163856235,-0.0047419809968078,0.0532455897554323,0.289534146269976,0.135160436777866,-0.0097662005502064,-0.000907127282726,-0.0311856106172247,20,-9.70696278350964e-05,1.0,1.44482642273779,1.41900841937157,0.876021848512329,Straight-line,26.03073333333333,50.51038333333333
